timestamp_ms,speed_mm_per_s,smoothed_speed_mm_per_s
1630002069620,1586.45,1466.28
1630002069637,1404.85,1460.76
1630002069654,1428.70,1450.65
1630002069671,1435.06,1450.65
1630002069687,1478.59,1450.65
1630002069704,1499.09,1460.76
1630002069720,1562.59,1460.76
1630002069737,1339.22,1454.80
1630002069754,1454.96,1449.82
1630002069770,1578.25,1466.77
1630002069787,1547.71,1466.77
1630002069804,1521.51,1488.84
1630002069821,1427.79,1488.84
1630002069837,1557.55,1510.30
1630002069854,1449.61,1510.30
1630002069870,1443.65,1488.24
1630002069887,1482.31,1468.63
1630002069904,1424.41,1468.63
1630002069920,1599.72,1501.91
1630002069937,1379.37,1465.96
1630002069954,1508.31,1465.96
1630002069970,1406.47,1446.63
1630002069987,1495.29,1465.96
1630002070004,1378.24,1446.63
1630002070020,1589.51,1462.98
1630002070037,1372.34,1453.36
1630002070054,1437.24,1430.82
1630002070070,1485.43,1461.33
1630002070087,1420.91,1429.07
1630002070104,1368.07,1429.07
1630002070120,1601.11,1429.07
1630002070137,1345.23,1429.07
1630002070154,1454.60,1429.07
1630002070171,1292.32,1429.07
1630002070187,1632.04,1429.07
1630002070204,1303.33,1429.07
1630002070221,1519.30,1437.76
1630002070237,1406.57,1413.74
1630002070254,1519.86,1430.59
1630002070271,1412.52,1433.56
1630002070287,1557.63,1433.56
1630002070304,1373.19,1433.56
1630002070320,1581.71,1465.91
1630002070337,1452.26,1485.78
1630002070354,1556.78,1485.78
1630002070371,1271.31,1485.78
1630002070387,1617.12,1486.06
1630002070404,1336.06,1486.06
1630002070421,1568.55,1504.52
1630002070437,1420.14,1504.52
1630002070454,1430.77,1441.52
1630002070471,1385.37,1441.52
1630002070487,1640.41,1441.52
1630002070504,1380.80,1425.46
1630002070520,1551.97,1425.46
1630002070537,1368.58,1425.46
1630002070554,1503.41,1425.46
1630002070571,1421.78,1426.27
